ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_09_1225241_000,Mpro-protein,-3.822,,exp_11
mol_2024_07_09_1227433_000,Mpro-protein,-5.757,,exp_11
mol_2024_07_09_1219110_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1219110_000.pdb -o mol_2024_07_09_1219110_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1232543_000,Mpro-protein,-4.286,,exp_11
mol_2024_07_09_1221450_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1221450_000.pdb -o mol_2024_07_09_1221450_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1240331_000,Mpro-protein,-5.488,,exp_11
mol_2024_07_09_1226043_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1226043_000.pdb -o mol_2024_07_09_1226043_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1232280_000.sdf,Mpro-protein.pdb,,local variable 'e' referenced before assignment,exp_11
mol_2024_07_09_1229243_000,Mpro-protein,-5.418,,exp_11
mol_2024_07_09_1221483_000,Mpro-protein,-4.942,,exp_11
mol_2024_07_09_1223250_000,Mpro-protein,-5.205,,exp_11
mol_2024_07_09_1216440_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1216440_000.pdb -o mol_2024_07_09_1216440_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1225460_000,Mpro-protein,-4.463,,exp_11
mol_2024_07_09_1228130_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1228130_000.pdb -o mol_2024_07_09_1228130_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1232271_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1232271_000.pdb -o mol_2024_07_09_1232271_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1234100_000,Mpro-protein,-4.911,,exp_11
mol_2024_07_09_1235313_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1235313_000.pdb -o mol_2024_07_09_1235313_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1232033_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1232033_000.pdb -o mol_2024_07_09_1232033_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1215382_000,Mpro-protein,-5.085,,exp_11
mol_2024_07_09_1237123_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1237123_000.pdb -o mol_2024_07_09_1237123_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1224241_000,Mpro-protein,-4.898,,exp_11
mol_2024_07_09_1223263_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1223263_000.pdb -o mol_2024_07_09_1223263_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1235010_000,Mpro-protein,-3.96,,exp_11
mol_2024_07_09_1238552_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1238552_000.pdb -o mol_2024_07_09_1238552_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_11
mol_2024_07_09_1231380_000,Mpro-protein,-4.977,,exp_11
