Unnamed: 0,ligand_name,protein_name,computed_dG,error_message,exp_id
0,mol_2024_07_10_1150310_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1150310_000.pdb -o mol_2024_07_10_1150310_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_25
mol_2024_07_10_1247031_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1247031_000.pdb -o mol_2024_07_10_1247031_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_25
mol_2024_07_10_1223073_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1223073_000.pdb -o mol_2024_07_10_1223073_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_25
mol_2024_07_10_1234072_000,Mpro-protein,-4.126,,,exp_25
mol_2024_07_10_1150351_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1150351_000.pdb -o mol_2024_07_10_1150351_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_25
mol_2024_07_10_1218193_000,Mpro-protein,-4.451,,,exp_25
mol_2024_07_10_1230471_000,Mpro-protein,-4.382,,,exp_25
mol_2024_07_10_1246473_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1246473_000.pdb -o mol_2024_07_10_1246473_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_25
mol_2024_07_10_1205583_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1205583_000.pdb -o mol_2024_07_10_1205583_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_25
mol_2024_07_10_1237190_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1237190_000.pdb -o mol_2024_07_10_1237190_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_25
