Unnamed: 0,ligand_name,protein_name,computed_dG,error_message,exp_id
0,mol_2024_07_10_1941343_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1941343_000.pdb -o mol_2024_07_10_1941343_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_34
mol_2024_07_10_1956281_000,Mpro-protein,-21.92,,,exp_34
mol_2024_07_10_1933520_000,Mpro-protein,-21.92,,,exp_34
mol_2024_07_10_1934430_000,Mpro-protein,-22.04,,,exp_34
mol_2024_07_10_1940441_000,Mpro-protein,-20.48,,,exp_34
mol_2024_07_10_1933482_000,Mpro-protein,-21.87,,,exp_34
mol_2024_07_10_1943343_000,Mpro-protein,-22.37,,,exp_34
mol_2024_07_10_1933191_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1933191_000.pdb -o mol_2024_07_10_1933191_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1931412_000,Mpro-protein,-22.11,,,exp_34
mol_2024_07_10_1945211_000,Mpro-protein,-21.79,,,exp_34
mol_2024_07_10_1946171_000,Mpro-protein,-22.82,,,exp_34
mol_2024_07_10_1930443_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1930443_000.pdb -o mol_2024_07_10_1930443_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1942351_000,Mpro-protein,-21.84,,,exp_34
mol_2024_07_10_1933020_000,Mpro-protein,-21.87,,,exp_34
mol_2024_07_10_1935512_000,Mpro-protein,-22.62,,,exp_34
mol_2024_07_10_1954361_000,Mpro-protein,-21.9,,,exp_34
mol_2024_07_10_1948081_000,Mpro-protein,-22.17,,,exp_34
mol_2024_07_10_1936363_000,Mpro-protein,-22.01,,,exp_34
mol_2024_07_10_1944261_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1944261_000.pdb -o mol_2024_07_10_1944261_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1945290_000,Mpro-protein,-22.13,,,exp_34
mol_2024_07_10_1956080_000,Mpro-protein,-21.54,,,exp_34
mol_2024_07_10_1939400_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1939400_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM    3  B   UNL     1       8.794  -1.755  22.133  1.00  0.00     0.301 B 
",,exp_34
mol_2024_07_10_1942353_000,Mpro-protein,-22.26,,,exp_34
mol_2024_07_10_1946303_000,Mpro-protein,-21.57,,,exp_34
mol_2024_07_10_1935101_000,Mpro-protein,-21.62,,,exp_34
mol_2024_07_10_1957231_000,Mpro-protein,-21.41,,,exp_34
mol_2024_07_10_1940290_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1940290_000.pdb -o mol_2024_07_10_1940290_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1954300_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1954300_000.pdb -o mol_2024_07_10_1954300_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1955321_000,Mpro-protein,-22.05,,,exp_34
mol_2024_07_10_1935340_000,Mpro-protein,-22.26,,,exp_34
mol_2024_07_10_1953182_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1953182_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM    7  B   UNL     1       8.361  -1.294  23.529  1.00  0.00    -3.873 B 
",,exp_34
mol_2024_07_10_1947070_000,Mpro-protein,-22.06,,,exp_34
mol_2024_07_10_1931423_000,Mpro-protein,-21.95,,,exp_34
mol_2024_07_10_1949350_000,Mpro-protein,-21.55,,,exp_34
mol_2024_07_10_1940323_000,Mpro-protein,-24.2,,,exp_34
mol_2024_07_10_1933403_000,Mpro-protein,-21.86,,,exp_34
mol_2024_07_10_1948440_000,Mpro-protein,-22.28,,,exp_34
mol_2024_07_10_1953430_000,Mpro-protein,-21.49,,,exp_34
mol_2024_07_10_1950273_000,Mpro-protein,-21.48,,,exp_34
mol_2024_07_10_1949031_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1949031_000.pdb -o mol_2024_07_10_1949031_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1931301_000,Mpro-protein,-22.47,,,exp_34
mol_2024_07_10_1936240_000,Mpro-protein,-22.16,,,exp_34
mol_2024_07_10_1948562_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1948562_000.pdb -o mol_2024_07_10_1948562_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1937333_000,Mpro-protein,-20.91,,,exp_34
mol_2024_07_10_1946452_000,Mpro-protein,-21.2,,,exp_34
mol_2024_07_10_1955292_000,Mpro-protein,-22.06,,,exp_34
mol_2024_07_10_1938500_000,Mpro-protein,-21.58,,,exp_34
mol_2024_07_10_1951491_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1951491_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM   13  B   UNL     1       7.799  -1.267  22.581  1.00  0.00    -0.101 B 
",,exp_34
mol_2024_07_10_1956203_000,Mpro-protein,-22.87,,,exp_34
mol_2024_07_10_1930350_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1930350_000.pdb -o mol_2024_07_10_1930350_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1934151_000,Mpro-protein,-21.82,,,exp_34
mol_2024_07_10_1932130_000,Mpro-protein,-24.5,,,exp_34
mol_2024_07_10_1938531_000,Mpro-protein,-23.75,,,exp_34
mol_2024_07_10_1939491_000,Mpro-protein,-22.18,,,exp_34
mol_2024_07_10_1951253_000,Mpro-protein,-22.97,,,exp_34
mol_2024_07_10_1931230_000,Mpro-protein,-22.53,,,exp_34
mol_2024_07_10_1944380_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1944380_000.pdb -o mol_2024_07_10_1944380_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1942580_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1942580_000.pdb -o mol_2024_07_10_1942580_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1938323_000,Mpro-protein,-22.31,,,exp_34
mol_2024_07_10_1944342_000,Mpro-protein,-21.91,,,exp_34
mol_2024_07_10_1938030_000,Mpro-protein,-22.96,,,exp_34
mol_2024_07_10_1957392_000,Mpro-protein,-22.08,,,exp_34
mol_2024_07_10_1945323_000,Mpro-protein,-22.33,,,exp_34
mol_2024_07_10_1950260_000,Mpro-protein,-22.05,,,exp_34
mol_2024_07_10_1950541_000,Mpro-protein,-21.95,,,exp_34
mol_2024_07_10_1952451_000,Mpro-protein,-21.5,,,exp_34
mol_2024_07_10_1936051_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1936051_000.pdb -o mol_2024_07_10_1936051_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1952520_000,Mpro-protein,-22.97,,,exp_34
mol_2024_07_10_1930371_000,Mpro-protein,-22.41,,,exp_34
mol_2024_07_10_1949303_000,Mpro-protein,-22.44,,,exp_34
mol_2024_07_10_1942242_000,Mpro-protein,-22.15,,,exp_34
mol_2024_07_10_1942090_000,Mpro-protein,-21.89,,,exp_34
mol_2024_07_10_1938022_000,Mpro-protein,-22.7,,,exp_34
mol_2024_07_10_1951062_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1951062_000.pdb -o mol_2024_07_10_1951062_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1947550_000,Mpro-protein,-22.66,,,exp_34
mol_2024_07_10_1934383_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1934383_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM   44  B   UNL     1       8.331  -1.583  21.939  1.00  0.00    -10.563 B 
",,exp_34
mol_2024_07_10_1948293_000,Mpro-protein,-21.82,,,exp_34
mol_2024_07_10_1941401_000,Mpro-protein,-22.33,,,exp_34
mol_2024_07_10_1932251_000.sdf,Mpro-protein.pdb,,"Command ./vina/vina_1.2.5_linux_x86_64 --config mol_2024_07_10_1932251_000_Mpro-protein_config.txt failed: 


PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > HETATM   24  B   UNL     1       8.827  -1.528  23.599  1.00  0.00    -45.377 B 
",,exp_34
mol_2024_07_10_1937011_000,Mpro-protein,-22.03,,,exp_34
mol_2024_07_10_1943490_000,Mpro-protein,-21.79,,,exp_34
mol_2024_07_10_1937130_000,Mpro-protein,-21.77,,,exp_34
mol_2024_07_10_1947303_000,Mpro-protein,-21.44,,,exp_34
mol_2024_07_10_1946190_000,Mpro-protein,-22.08,,,exp_34
mol_2024_07_10_1956570_000,Mpro-protein,-22.72,,,exp_34
mol_2024_07_10_1952030_000,Mpro-protein,-21.62,,,exp_34
mol_2024_07_10_1955223_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1955223_000.pdb -o mol_2024_07_10_1955223_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1944333_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1944333_000.pdb -o mol_2024_07_10_1944333_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1952243_000,Mpro-protein,-23.07,,,exp_34
mol_2024_07_10_1941180_000,Mpro-protein,-21.76,,,exp_34
mol_2024_07_10_1954213_000,Mpro-protein,-21.78,,,exp_34
mol_2024_07_10_1957183_000,Mpro-protein,-21.86,,,exp_34
mol_2024_07_10_1940122_000,Mpro-protein,-21.76,,,exp_34
mol_2024_07_10_1932403_000,Mpro-protein,-21.92,,,exp_34
mol_2024_07_10_1939323_000,Mpro-protein,-21.61,,,exp_34
mol_2024_07_10_1953233_000,Mpro-protein,-23.14,,,exp_34
mol_2024_07_10_1951130_000,Mpro-protein,-20.3,,,exp_34
mol_2024_07_10_1947131_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1947131_000.pdb -o mol_2024_07_10_1947131_000.pdbqt -A hydrogens' returned non-zero exit status 1.,,exp_34
mol_2024_07_10_1955190_000,Mpro-protein,-22.7,,,exp_34
mol_2024_07_10_1953401_000,Mpro-protein,-21.71,,,exp_34
mol_2024_07_10_1937571_000,Mpro-protein,-22.38,,,exp_34
mol_2024_07_10_1949591_000,Mpro-protein,-21.88,,,exp_34
mol_2024_07_10_1943311_000,Mpro-protein,-21.86,,,exp_34
mol_2024_07_10_1935383_000,Mpro-protein,-22.32,,,exp_34
