24
stable:True satoms:24 tatoms:24 sratio:1.0
C 8.496456146 -0.069481619 24.589208603
C 7.726703644 -3.247283459 22.591253281
C 9.827486038 -2.146732330 21.932283401
C 6.765754223 -2.012058973 22.273977280
H 8.411981583 2.074680328 24.733730316
C 7.608068943 0.374556661 21.963628769
Cl 7.914460182 -0.330435812 26.183143616
N 7.069162369 -0.699766040 22.497512817
C 8.213415146 1.405734420 22.718225479
C 10.008270264 -1.370806456 23.195804596
H 7.122726917 -4.141984463 22.375938416
H 10.775574684 -2.228419065 20.003049850
N 8.930839539 -1.130305529 23.986034393
C 8.395576477 1.231207609 24.065313339
H 7.934460163 -3.204954147 23.661245346
H 7.519196033 0.527756572 20.900640488
H 8.484550476 2.349668264 22.234687805
C 10.869094849 -1.707850456 20.953495026
H 10.784595490 -0.630747736 20.768875122
O 11.124514580 -0.998242497 23.526714325
H 11.865912437 -1.871667504 21.390611649
C 8.943098068 -3.161535263 21.781919479
H 9.125427246 -3.951530695 21.049108505
O 5.666724682 -2.349937677 21.920318604
