24
stable:True satoms:24 tatoms:24 sratio:1.0
H 10.284659386 0.753000319 23.662609100
C 10.013071060 -1.707683086 24.111322403
H 10.512046814 -1.417484045 22.033725739
H 7.007614136 -1.100616336 23.602914810
C 8.431805611 -1.803254843 22.108886719
H 8.913883209 -0.892935693 20.283046722
N 11.410101891 -1.509014845 24.462362289
H 8.706211090 0.774980843 22.891109467
H 8.699577332 -2.841850519 21.939750671
C 7.021555424 -1.817833662 22.779008865
C 6.797082424 -0.789420903 20.678321838
C 9.705362320 -1.125623703 22.726390839
N 8.148937225 -1.126273394 20.887977600
N 6.126231670 -1.443247080 21.753995895
H 6.766578197 -2.807566643 23.172256470
H 9.445137024 -1.171852708 24.875846863
H 6.628403187 0.301416397 20.720026016
C 9.724251747 0.404363364 22.805667877
H 11.932590485 -2.355346680 24.557245255
H 11.852556229 -0.922814727 23.766424179
H 6.440410614 -1.129349232 19.690362930
H 10.177824974 0.814649582 21.907548904
H 5.145228863 -1.613479853 21.700334549
H 9.692930222 -2.762897730 24.179584503
