24
stable:True satoms:24 tatoms:24 sratio:1.0
C 9.147930145 -2.890414000 25.376834869
H 10.419980049 -0.156120047 20.631885529
H 8.815450668 -0.579971790 20.080348969
C 9.000953674 -3.952299595 24.407922745
C 8.197430611 1.740429163 19.382570267
H 7.224719048 -3.553034306 25.855131149
H 8.077785492 2.821690083 19.331544876
H 7.275504589 1.307847500 19.758333206
H 8.399335861 1.355562449 18.383434296
O 9.295220375 1.447154284 20.193832397
H 8.598240852 -2.075968504 22.030292511
H 7.140170574 -2.934149027 24.187921524
C 8.893214226 0.094904229 22.131454468
H 8.968348503 -4.986705303 24.675361633
H 9.456031799 -3.822613716 23.443363190
H 9.939026833 -1.562496781 23.019899368
H 9.503664970 0.759436190 22.741447449
C 8.928552628 -1.307305336 22.720266342
H 9.626364708 -3.206394672 26.297988892
C 9.375033379 0.131636143 20.685678482
H 9.368249893 -1.829127073 25.229181290
H 7.880318642 0.483064562 22.161973953
H 8.269850731 -1.317054510 23.573873520
C 7.782668114 -3.258205175 24.996173859
