ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_10_1059462_000_0,Mpro-protein,-5.218092,,exp_24
mol_2024_07_10_1059462_000_0,Mpro-protein,-5.126424,,exp_24
mol_2024_07_10_1101241_000_0,Mpro-protein,-5.752516,,exp_24
mol_2024_07_10_1101241_000_0,Mpro-protein,-5.806545,,exp_24
mol_2024_07_10_1133493_000_0,Mpro-protein,-5.699859,,exp_24
mol_2024_07_10_1133493_000_0,Mpro-protein,-5.597908,,exp_24
mol_2024_07_10_1122403_000_0,Mpro-protein,-4.984064,,exp_24
mol_2024_07_10_1122403_000_0,Mpro-protein,-4.99961,,exp_24
mol_2024_07_10_1129151_000_0,Mpro-protein,-5.603968,,exp_24
mol_2024_07_10_1129151_000_0,Mpro-protein,-5.815768,,exp_24
mol_2024_07_10_1043400_000_0,Mpro-protein,-5.004133,,exp_24
mol_2024_07_10_1043400_000_0,Mpro-protein,-4.762123,,exp_24
mol_2024_07_10_1053221_000_0,Mpro-protein,-5.242685,,exp_24
mol_2024_07_10_1053221_000_0,Mpro-protein,-5.339538,,exp_24
mol_2024_07_10_1130593_000_0,Mpro-protein,-4.994515,,exp_24
mol_2024_07_10_1130593_000_0,Mpro-protein,-4.813724,,exp_24
mol_2024_07_10_1144431_000_0,Mpro-protein,-5.265253,,exp_24
mol_2024_07_10_1144431_000_0,Mpro-protein,-5.265254,,exp_24
mol_2024_07_10_1131573_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1131573_000_docked.sdf,exp_24
mol_2024_07_10_1049163_000_0,Mpro-protein,-5.780348,,exp_24
mol_2024_07_10_1049163_000_0,Mpro-protein,-5.929864,,exp_24
mol_2024_07_10_1132160_000_0,Mpro-protein,-4.885914,,exp_24
mol_2024_07_10_1132160_000_0,Mpro-protein,-4.828281,,exp_24
mol_2024_07_10_1050170_000_0,Mpro-protein,-5.53526,,exp_24
mol_2024_07_10_1050170_000_0,Mpro-protein,-5.535257,,exp_24
mol_2024_07_10_1123313_000_0,Mpro-protein,-5.55823,,exp_24
mol_2024_07_10_1123313_000_0,Mpro-protein,-5.552508,,exp_24
mol_2024_07_10_1144040_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1144040_000_docked.sdf,exp_24
mol_2024_07_10_1048380_000_0,Mpro-protein,-6.171872,,exp_24
mol_2024_07_10_1048380_000_0,Mpro-protein,-6.171184,,exp_24
mol_2024_07_10_1123501_000_0,Mpro-protein,-5.500644,,exp_24
mol_2024_07_10_1123501_000_0,Mpro-protein,-5.444853,,exp_24
mol_2024_07_10_1146330_000_0,Mpro-protein,-6.321587,,exp_24
mol_2024_07_10_1146330_000_0,Mpro-protein,-6.473726,,exp_24
mol_2024_07_10_1132533_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_10_1132533_000_docked.sdf,exp_24
mol_2024_07_10_1103463_000_0,Mpro-protein,-4.936011,,exp_24
mol_2024_07_10_1103463_000_0,Mpro-protein,-4.936014,,exp_24
mol_2024_07_10_1119201_000_0,Mpro-protein,-5.424575,,exp_24
mol_2024_07_10_1119201_000_0,Mpro-protein,-5.427155,,exp_24
