mol_id,total_atoms,stable_ratio,exp_id,dummy_atoms,samples,silvr,comment,crude_rmsd,is_fragmented,qed,sa,smiles,auto3d_rmsd,vina_score,chemgauss4,shapegauss
mol_2024_07_09_1126150_000,24,0.875,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.160556332953029,False,0.6832840532990881,7.042596738857788,[H]N=C([H])C(=O)C([H])([H])C1=C(C(=O)C([H])([H])[H])N1C(=O)OC([H])([H])[H],1.7070313602077454,-5.276,-6.429416,-98.919571
mol_2024_07_09_1129481_000,24,0.875,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.861962883651231,False,0.6232928434705552,7.545864428514887,[H]C1=C(NC(=O)C(=O)C([H])([H])F)C([H])(N([H])C([H])([H])[H])C([H])([H])C1([H])[H],0.8846347323453109,-5.045,-6.128456,-81.962265
mol_2024_07_09_1124033_000,24,0.875,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.888307601133758,False,0.497355998079253,6.5077760263934135,[H]/C(c1c([H])c([H])c([H])c([H])c1Cl)=[N+](/[H])[C@@]([H])(N([H])[H])C([H])([H])[H],0.514953255753615,-4.765,-6.246268,-67.595573
mol_2024_07_09_1130120_000,24,0.9583333333333334,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.91449255571708,False,0.5703941868272098,7.652654433199405,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])NC1=C(C([H])(Cl)C([H])([H])[H])SC1=O,1.1304193546743535,-4.476,-4.941013,-87.048599
mol_2024_07_09_1134103_000,24,0.7916666666666666,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.636410687283742,True,0.2392535850750565,,[H]C([H])([H])C(=O)O.[H]N=C(N[H])C([H])(N(C#N)C([H])([H])[H])C([H])([H])[H],,,,-102.237358
mol_2024_07_09_1136282_000,24,0.75,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.067888674580886,False,0.2442674420352371,7.511602066561295,[H]C1=C([H])N([H])C([H])(Cl)C2=C1S[N@@+]1(C([H])([H])C([H])([H])[H])C([H])([H])[C@@]1([H])O2,0.7764671758866489,-4.995,-7.406693,-119.358025
mol_2024_07_09_1142353_000,24,0.7916666666666666,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.840915787906959,False,0.4229609539726811,6.509448507103458,[H]C1=C(Cl)C(C([H])([H])OC([H])([H])/C([H])=[N+](\[H])C([H])([H])[H])=C([H])C1([H])C([H])([H])Cl,1.772105043380909,-4.366,-6.318382,-99.029984
mol_2024_07_09_1123541_000,24,0.9583333333333334,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.3948370533868575,False,0.6249080363959734,7.210752388996472,[H]/C(=C(\[H])C1([H])SC([H])([H])[C@@]([H])(C([H])([H])[H])C1=O)C([H])([H])OC([H])([H])[H],1.1743327492167848,-4.189,-5.702972,-82.608902
mol_2024_07_09_1138190_000,24,0.9166666666666666,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.877712217553317,True,0.6467008525279676,,[H]C([H])(O)C(F)(F)F.[H]C1=C(N([H])[H])OC([H])([H])C1([H])OC(=O)C([H])([H])[H],,,,-106.368332
mol_2024_07_09_1140093_000,24,0.75,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.474175011267947,False,0.2781826754095907,7.02608993809972,[H]/C(=N\Sc1c([H])c([H])nc([H])c1[H])N/C([H])=C(/[N+](=O)[O-])C([H])([H])[H],1.387464078424443,-5.799,-7.405697,-107.942917
mol_2024_07_09_1139090_000,24,0.5833333333333334,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.09078952470445,False,0.6104252929988683,6.786591074216824,[H]/C1=N/N=N\C([H])(N([H])[H])C(=C=O)/C([H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C1=O,2.1734402264867394,-6.767,-7.03015,-134.432159
mol_2024_07_09_1139590_000,24,0.7916666666666666,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.702500650682928,False,0.6684365650865504,7.096067830573784,[H]C1=NC(C([H])([H])[H])=C(Cl)C([H])(C2([H])C([H])([H])SC([H])([H])C2([H])[H])C([H])=C1[H],1.0261286517799524,-4.931,-7.495143,-103.735168
mol_2024_07_09_1123073_000,24,0.75,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.85491057526195,True,0.6871400558310788,,[H]C1=C([H])C([H])([H])C([H])=C1[H].[H]c1c([H])c([H])c(NC([H])([H])[H])c([H])c1[H],,,,-90.270927
mol_2024_07_09_1137131_000,24,0.9166666666666666,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.075342436079203,False,0.5727399037115509,6.97814244244891,[H]N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O,1.9031348737552307,-3.676,-5.829707,-59.34063
mol_2024_07_09_1127490_000,24,0.9166666666666666,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.358282175633455,False,0.4932573497193153,6.993104435383019,[H]C1=C([H])C([H])(C(=O)C([H])([H])NN([H])C(=O)C([H])([H])C(F)(F)F)N([H])S1,1.4829079743279012,-5.284,-7.328246,-79.0149
mol_2024_07_09_1144101_000,24,0.75,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.053543880441477,False,0.6137092613846329,7.945597793048847,[H]C1=C(Cl)C([H])(N2N3C([H])([H])S(=O)(=O)C([H])([H])C([H])([H])N([H])[C@@]23O)S1,1.5331864893369664,-5.217,-5.556625,-106.53157
mol_2024_07_09_1126251_000,24,0.5,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.627784384809328,True,0.1676720844264215,,[H]NC([H])([H])NC1=NC1([H])SC([H])([H])S[C@]([H])(S)NNNC([H])([H])[H].[H]NC([H])([H])[H],,,,-160.014267
mol_2024_07_09_1135171_000,24,0.875,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.746685569839849,False,0.5976374925587059,7.793052028755531,[H]O[C@@]([H])(NC(=O)N([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],1.3435372736984663,-5.559,-7.750224,-109.866554
mol_2024_07_09_1128581_000,24,0.75,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.122875123117669,False,0.6045459677516235,7.007114654750226,[H]c1c(Br)nc(C([H])([H])[C@]2(C([H])([H])[H])C([H])([H])S2(=O)=O)c(Br)c1[H],1.642954314749182,-5.272,-6.220407,-107.700531
