mol_id,total_atoms,stable_ratio,exp_id,dummy_atoms,samples,silvr,comment,crude_rmsd,is_fragmented,qed,sa,smiles,auto3d_rmsd
mol_2024_07_09_1126150_000,24,0.875,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.160556332953029,False,0.6832840532990881,7.042596738857788,[H]N=C([H])C(=O)C([H])([H])C1=C(C(=O)C([H])([H])[H])N1C(=O)OC([H])([H])[H],1.7070313602077454
mol_2024_07_09_1129481_000,24,0.875,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.861962883651231,False,0.6232928434705552,7.545864428514887,[H]C1=C(NC(=O)C(=O)C([H])([H])F)C([H])(N([H])C([H])([H])[H])C([H])([H])C1([H])[H],0.8846347323453109
mol_2024_07_09_1124033_000,24,0.875,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.888307601133758,False,0.497355998079253,6.5077760263934135,[H]/C(c1c([H])c([H])c([H])c([H])c1Cl)=[N+](/[H])[C@@]([H])(N([H])[H])C([H])([H])[H],0.514953255753615
mol_2024_07_09_1130120_000,24,0.9583333333333334,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.91449255571708,False,0.5703941868272098,7.652654433199405,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])NC1=C(C([H])(Cl)C([H])([H])[H])SC1=O,1.1304193546743535
mol_2024_07_09_1134103_000,24,0.7916666666666666,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.636410687283742,True,0.2392535850750565,,[H]C([H])([H])C(=O)O.[H]N=C(N[H])C([H])(N(C#N)C([H])([H])[H])C([H])([H])[H],
mol_2024_07_09_1136282_000,24,0.75,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.067888674580886,False,0.2442674420352371,7.511602066561295,[H]C1=C([H])N([H])C([H])(Cl)C2=C1S[N@@+]1(C([H])([H])C([H])([H])[H])C([H])([H])[C@@]1([H])O2,0.7764671758866489
mol_2024_07_09_1142353_000,24,0.7916666666666666,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.840915787906959,False,0.4229609539726811,6.509448507103458,[H]C1=C(Cl)C(C([H])([H])OC([H])([H])/C([H])=[N+](\[H])C([H])([H])[H])=C([H])C1([H])C([H])([H])Cl,1.772105043380909
mol_2024_07_09_1123541_000,24,0.9583333333333334,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.3948370533868575,False,0.6249080363959734,7.210752388996472,[H]/C(=C(\[H])C1([H])SC([H])([H])[C@@]([H])(C([H])([H])[H])C1=O)C([H])([H])OC([H])([H])[H],1.1743327492167848
mol_2024_07_09_1138190_000,24,0.9166666666666666,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",4.877712217553317,True,0.6467008525279676,,[H]C([H])(O)C(F)(F)F.[H]C1=C(N([H])[H])OC([H])([H])C1([H])OC(=O)C([H])([H])[H],
mol_2024_07_09_1140093_000,24,0.75,exp_9,0,100,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0 and Mpro-x0107_0 , rate=0",5.474175011267947,False,0.2781826754095907,7.02608993809972,[H]/C(=N\Sc1c([H])c([H])nc([H])c1[H])N/C([H])=C(/[N+](=O)[O-])C([H])([H])[H],1.387464078424443
