,ligand_name,protein_name,computed_dG,error_message
0,Updated_Mpro_data_0.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_0.pdb -o Updated_Mpro_data_0.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1.pdb -o Updated_Mpro_data_1.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_10.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_10.pdb -o Updated_Mpro_data_10.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_100.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_100.pdb -o Updated_Mpro_data_100.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1000.pdb -o Updated_Mpro_data_1000.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1001.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1001.pdb -o Updated_Mpro_data_1001.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1002.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1002.pdb -o Updated_Mpro_data_1002.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1003.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1003.pdb -o Updated_Mpro_data_1003.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1004.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1004.pdb -o Updated_Mpro_data_1004.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1005.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1005.pdb -o Updated_Mpro_data_1005.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1006.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1006.pdb -o Updated_Mpro_data_1006.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1007.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1007.pdb -o Updated_Mpro_data_1007.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1008.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1008.pdb -o Updated_Mpro_data_1008.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1009.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1009.pdb -o Updated_Mpro_data_1009.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_101.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_101.pdb -o Updated_Mpro_data_101.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1010.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1010.pdb -o Updated_Mpro_data_1010.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1011.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1011.pdb -o Updated_Mpro_data_1011.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1012.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1012.pdb -o Updated_Mpro_data_1012.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1013.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1013.pdb -o Updated_Mpro_data_1013.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1014.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1014.pdb -o Updated_Mpro_data_1014.pdbqt -A hydrogens' returned non-zero exit status 2.
Updated_Mpro_data_1015.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l Updated_Mpro_data_1015.pdb -o Updated_Mpro_data_1015.pdbqt -A hydrogens' returned non-zero exit status 2.
