ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_10_1817370_000,Mpro-protein,-6.104,,exp_31
mol_2024_07_10_1820590_000,Mpro-protein,-7.132,,exp_31
mol_2024_07_10_1817213_000,Mpro-protein,-5.055,,exp_31
mol_2024_07_10_1824562_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1824562_000.pdb -o mol_2024_07_10_1824562_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1832563_000,Mpro-protein,-5.914,,exp_31
mol_2024_07_10_1811323_000,Mpro-protein,-6.084,,exp_31
mol_2024_07_10_1825581_000,Mpro-protein,-6.459,,exp_31
mol_2024_07_10_1825590_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1825590_000.pdb -o mol_2024_07_10_1825590_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1815461_000,Mpro-protein,-6.02,,exp_31
mol_2024_07_10_1820543_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1820543_000.pdb -o mol_2024_07_10_1820543_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1827360_000,Mpro-protein,-5.52,,exp_31
mol_2024_07_10_1822393_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1822393_000.pdb -o mol_2024_07_10_1822393_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1824243_000,Mpro-protein,-6.15,,exp_31
mol_2024_07_10_1810022_000,Mpro-protein,-5.602,,exp_31
mol_2024_07_10_1826583_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1826583_000.pdb -o mol_2024_07_10_1826583_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1819180_000,Mpro-protein,-6.727,,exp_31
mol_2024_07_10_1811101_000,Mpro-protein,-6.909,,exp_31
mol_2024_07_10_1815570_000,Mpro-protein,-5.471,,exp_31
mol_2024_07_10_1811440_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1811440_000.pdb -o mol_2024_07_10_1811440_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1816152_000,Mpro-protein,-5.949,,exp_31
mol_2024_07_10_1832043_000,Mpro-protein,-5.774,,exp_31
mol_2024_07_10_1830050_000,Mpro-protein,-6.463,,exp_31
mol_2024_07_10_1821181_000,Mpro-protein,-7.012,,exp_31
mol_2024_07_10_1812283_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1812283_000.pdb -o mol_2024_07_10_1812283_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1813551_000,Mpro-protein,-6.284,,exp_31
mol_2024_07_10_1819271_000,Mpro-protein,-5.704,,exp_31
mol_2024_07_10_1808271_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1808271_000.pdb -o mol_2024_07_10_1808271_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1822392_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1822392_000.pdb -o mol_2024_07_10_1822392_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1815060_000,Mpro-protein,-6.599,,exp_31
mol_2024_07_10_1813260_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1813260_000.pdb -o mol_2024_07_10_1813260_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1816470_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1816470_000.pdb -o mol_2024_07_10_1816470_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1830411_000,Mpro-protein,-5.698,,exp_31
mol_2024_07_10_1814160_000,Mpro-protein,-5.727,,exp_31
mol_2024_07_10_1828403_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1828403_000.pdb -o mol_2024_07_10_1828403_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1828471_000,Mpro-protein,-6.283,,exp_31
mol_2024_07_10_1833572_000,Mpro-protein,-6.227,,exp_31
mol_2024_07_10_1829441_000,Mpro-protein,-5.681,,exp_31
mol_2024_07_10_1832341_000,Mpro-protein,-5.014,,exp_31
mol_2024_07_10_1820292_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1820292_000.pdb -o mol_2024_07_10_1820292_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1813273_000,Mpro-protein,-6.148,,exp_31
mol_2024_07_10_1820023_000,Mpro-protein,-5.675,,exp_31
mol_2024_07_10_1826541_000,Mpro-protein,-5.94,,exp_31
mol_2024_07_10_1820231_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1820231_000.pdb -o mol_2024_07_10_1820231_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1808082_000,Mpro-protein,-6.924,,exp_31
mol_2024_07_10_1807341_000,Mpro-protein,-7.293,,exp_31
mol_2024_07_10_1820090_000,Mpro-protein,-5.903,,exp_31
mol_2024_07_10_1823091_000,Mpro-protein,-6.13,,exp_31
mol_2024_07_10_1814253_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1814253_000.pdb -o mol_2024_07_10_1814253_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1821510_000,Mpro-protein,-5.355,,exp_31
mol_2024_07_10_1831460_000,Mpro-protein,-6.52,,exp_31
mol_2024_07_10_1821463_000,Mpro-protein,-5.286,,exp_31
mol_2024_07_10_1816233_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1816233_000.pdb -o mol_2024_07_10_1816233_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1813001_000,Mpro-protein,-5.376,,exp_31
mol_2024_07_10_1827511_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1827511_000.pdb -o mol_2024_07_10_1827511_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1833301_000,Mpro-protein,-6.401,,exp_31
mol_2024_07_10_1824051_000,Mpro-protein,-5.363,,exp_31
mol_2024_07_10_1830203_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1830203_000.pdb -o mol_2024_07_10_1830203_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_31
mol_2024_07_10_1830550_000,Mpro-protein,-6.08,,exp_31
mol_2024_07_10_1824180_000,Mpro-protein,-5.745,,exp_31
mol_2024_07_10_1825133_000,Mpro-protein,-7.18,,exp_31
mol_2024_07_10_1810161_000,Mpro-protein,-7.618,,exp_31
