ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_10_1427063_000,Mpro-protein,-16.78,,exp_27
mol_2024_07_10_1415521_000,Mpro-protein,-18.4,,exp_27
mol_2024_07_10_1437271_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1437271_000.pdb -o mol_2024_07_10_1437271_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_27
mol_2024_07_10_1449583_000,Mpro-protein,-15.51,,exp_27
mol_2024_07_10_1429470_000,Mpro-protein,-17.31,,exp_27
mol_2024_07_10_1434480_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1434480_000.pdb -o mol_2024_07_10_1434480_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_27
mol_2024_07_10_1422263_000,Mpro-protein,-14.82,,exp_27
mol_2024_07_10_1407451_000,Mpro-protein,-16.81,,exp_27
mol_2024_07_10_1434473_000,Mpro-protein,-18.49,,exp_27
mol_2024_07_10_1436402_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1436402_000.pdb -o mol_2024_07_10_1436402_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_27
mol_2024_07_10_1438392_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1438392_000.pdb -o mol_2024_07_10_1438392_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_27
mol_2024_07_10_1402403_000,Mpro-protein,-15.89,,exp_27
mol_2024_07_10_1418550_000,Mpro-protein,-16.48,,exp_27
mol_2024_07_10_1422121_000,Mpro-protein,-19.25,,exp_27
mol_2024_07_10_1404323_000,Mpro-protein,-16.9,,exp_27
mol_2024_07_10_1402170_000,Mpro-protein,-15.09,,exp_27
mol_2024_07_10_1454460_000,Mpro-protein,-21.89,,exp_27
mol_2024_07_10_1431121_000,Mpro-protein,-17.07,,exp_27
mol_2024_07_10_1501331_000,Mpro-protein,-18.81,,exp_27
mol_2024_07_10_1434471_000,Mpro-protein,-15.24,,exp_27
mol_2024_07_10_1452130_000,Mpro-protein,-15.49,,exp_27
mol_2024_07_10_1426280_000,Mpro-protein,-15.18,,exp_27
mol_2024_07_10_1405273_000,Mpro-protein,-17.6,,exp_27
mol_2024_07_10_1408060_000,Mpro-protein,-15.75,,exp_27
mol_2024_07_10_1443173_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1443173_000.pdb -o mol_2024_07_10_1443173_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_27
mol_2024_07_10_1419291_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1419291_000.pdb -o mol_2024_07_10_1419291_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_27
mol_2024_07_10_1442481_000,Mpro-protein,-17.6,,exp_27
mol_2024_07_10_1448550_000,Mpro-protein,-19.91,,exp_27
mol_2024_07_10_1415370_000,Mpro-protein,-18.65,,exp_27
mol_2024_07_10_1458070_000,Mpro-protein,-18.03,,exp_27
mol_2024_07_10_1407223_000,Mpro-protein,-14.97,,exp_27
mol_2024_07_10_1435433_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1435433_000.pdb -o mol_2024_07_10_1435433_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_27
mol_2024_07_10_1503273_000,Mpro-protein,-18.03,,exp_27
mol_2024_07_10_1428412_000,Mpro-protein,-17.41,,exp_27
mol_2024_07_10_1418070_000,Mpro-protein,-19.24,,exp_27
mol_2024_07_10_1449571_000,Mpro-protein,-16.57,,exp_27
mol_2024_07_10_1400380_000,Mpro-protein,-17.49,,exp_27
mol_2024_07_10_1444153_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_10_1444153_000.pdb -o mol_2024_07_10_1444153_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_27
mol_2024_07_10_1405041_000,Mpro-protein,-18.92,,exp_27
mol_2024_07_10_1408391_000,Mpro-protein,-15.9,,exp_27
mol_2024_07_10_1446093_000,Mpro-protein,-18.36,,exp_27
mol_2024_07_10_1439010_000,Mpro-protein,-15.97,,exp_27
mol_2024_07_10_1435411_000,Mpro-protein,-15.69,,exp_27
mol_2024_07_10_1418453_000,Mpro-protein,-18.14,,exp_27
