24
stable:True satoms:24 tatoms:24 sratio:1.0
Cl 6.319754601 -2.809464216 25.537645340
C 8.955527306 -1.700664282 24.912139893
F 8.483561516 -3.403102875 26.507715225
C 8.070688248 -2.918455601 25.284311295
H 10.478706360 -1.534178138 21.247978210
H 8.179308891 -3.661899567 24.504129410
H 7.089377880 -0.982453763 23.308769226
H 9.955492973 -1.833655834 25.338943481
H 8.526349068 -0.789987504 25.327377319
H 9.617362022 0.387181759 23.522901535
H 10.820512772 0.194633916 21.455112457
H 7.613016605 -2.354316950 22.337764740
H 10.756115913 -0.480158061 19.850212097
O 10.118934631 -0.415185601 23.332551956
H 9.742768288 -2.312918663 22.997098923
C 7.877322674 -1.333923578 22.644121170
C 10.303229332 -0.550871193 20.841257095
N 7.863007545 -0.449485481 21.527042389
C 8.316961288 0.281231195 19.460277557
H 6.602181435 -0.039447393 19.199405670
O 8.870431900 0.440438777 18.418867111
O 7.030578613 0.726838231 19.610910416
C 8.810633659 -0.295040816 20.713394165
C 9.182225227 -1.455249906 23.416776657
