24
stable:True satoms:24 tatoms:24 sratio:1.0
C 8.751100540 -2.258584499 24.688636780
H 8.635078430 -1.264607430 25.081960678
H 9.210045815 -3.369018078 23.043991089
H 9.523949623 -2.757236958 25.275037766
H 7.823663712 -2.787679434 24.807750702
C 8.267253876 0.575429559 21.924711227
H 7.893753052 -2.670463324 21.676633835
H 10.427433014 -0.929438055 21.942564011
C 9.151462555 -2.254154921 23.173847198
C 10.501043320 -1.560860395 22.823007584
H 8.068508148 0.465877622 22.978151321
N 10.936889648 -0.703033566 23.910631180
H 11.827182770 -0.901892483 24.237558365
H 11.198227882 -2.353976250 22.569133759
N 8.277610779 -1.834954619 22.082292557
H 9.284353256 0.947445989 21.799951553
H 10.251070023 0.020365726 24.018146515
H 6.487143040 -1.738831282 20.037273407
C 8.024622917 -0.732792377 21.179944992
H 8.681872368 -0.742586434 20.307273865
C 6.575941086 -0.851977527 20.661834717
H 7.598741531 1.325354457 21.484819412
H 6.288671494 0.011192275 20.073476791
H 5.898432732 -0.923713326 21.518095016
