ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_09_1123541_000,Mpro-protein,-4.317,,exp_9
mol_2024_07_09_1135030_000,Mpro-protein,-4.256,,exp_9
mol_2024_07_09_1140470_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1140470_000.pdb -o mol_2024_07_09_1140470_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_9
mol_2024_07_09_1127490_000,Mpro-protein,-5.58,,exp_9
mol_2024_07_09_1127030_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1127030_000.pdb -o mol_2024_07_09_1127030_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_9
mol_2024_07_09_1144101_000,Mpro-protein,-5.39,,exp_9
mol_2024_07_09_1133193_000,Mpro-protein,-5.802,,exp_9
mol_2024_07_09_1141111_000,Mpro-protein,-4.523,,exp_9
mol_2024_07_09_1140093_000,Mpro-protein,-5.217,,exp_9
mol_2024_07_09_1137300_000,Mpro-protein,-4.535,,exp_9
mol_2024_07_09_1133270_000,Mpro-protein,-5.421,,exp_9
mol_2024_07_09_1124380_000,Mpro-protein,-5.461,,exp_9
mol_2024_07_09_1138190_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1138190_000.pdb -o mol_2024_07_09_1138190_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_9
mol_2024_07_09_1135171_000,Mpro-protein,-5.546,,exp_9
mol_2024_07_09_1140572_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1140572_000.pdb -o mol_2024_07_09_1140572_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_9
mol_2024_07_09_1128143_000,Mpro-protein,-5.045,,exp_9
mol_2024_07_09_1142111_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1142111_000.pdb -o mol_2024_07_09_1142111_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_9
mol_2024_07_09_1145152_000,Mpro-protein,-5.718,,exp_9
mol_2024_07_09_1140121_000,Mpro-protein,-5.792,,exp_9
mol_2024_07_09_1130120_000,Mpro-protein,-4.376,,exp_9
mol_2024_07_09_1130401_000,Mpro-protein,-4.931,,exp_9
mol_2024_07_09_1135033_000,Mpro-protein,-4.806,,exp_9
mol_2024_07_09_1135520_000,Mpro-protein,-5.377,,exp_9
mol_2024_07_09_1122183_000,Mpro-protein,-5.257,,exp_9
mol_2024_07_09_1125433_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1125433_000.pdb -o mol_2024_07_09_1125433_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_9
mol_2024_07_09_1139090_000,Mpro-protein,-7.022,,exp_9
mol_2024_07_09_1127243_000,Mpro-protein,-4.659,,exp_9
