ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_09_1326471_000,Mpro-protein,-6.955,,exp_13
mol_2024_07_09_1332130_000,Mpro-protein,-6.412,,exp_13
mol_2024_07_09_1322213_000,Mpro-protein,-5.838,,exp_13
mol_2024_07_09_1314331_000,Mpro-protein,-6.846,,exp_13
mol_2024_07_09_1331581_000,Mpro-protein,-6.968,,exp_13
mol_2024_07_09_1318593_000,Mpro-protein,-7.803,,exp_13
mol_2024_07_09_1332203_000,Mpro-protein,-6.516,,exp_13
mol_2024_07_09_1313103_000,Mpro-protein,-7.377,,exp_13
mol_2024_07_09_1321112_000,Mpro-protein,-5.88,,exp_13
mol_2024_07_09_1324450_000,Mpro-protein,-6.378,,exp_13
mol_2024_07_09_1310380_000,Mpro-protein,-6.49,,exp_13
mol_2024_07_09_1317341_000,Mpro-protein,-7.058,,exp_13
mol_2024_07_09_1323050_000,Mpro-protein,-6.81,,exp_13
mol_2024_07_09_1329531_000,Mpro-protein,-7.382,,exp_13
mol_2024_07_09_1324421_000,Mpro-protein,-6.369,,exp_13
mol_2024_07_09_1331250_000,Mpro-protein,-6.23,,exp_13
mol_2024_07_09_1310373_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1310373_000.pdb -o mol_2024_07_09_1310373_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_13
mol_2024_07_09_1322391_000,Mpro-protein,-6.7,,exp_13
mol_2024_07_09_1315331_000,Mpro-protein,-6.751,,exp_13
mol_2024_07_09_1313560_000,Mpro-protein,-7.305,,exp_13
mol_2024_07_09_1314192_000,Mpro-protein,-6.181,,exp_13
mol_2024_07_09_1330561_000,Mpro-protein,-7.575,,exp_13
mol_2024_07_09_1315403_000,Mpro-protein,-6.391,,exp_13
mol_2024_07_09_1311361_000,Mpro-protein,-6.968,,exp_13
mol_2024_07_09_1328560_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1328560_000.pdb -o mol_2024_07_09_1328560_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_13
mol_2024_07_09_1320403_000.sdf,Mpro-protein.pdb,,Command './ADFRsuite/ADFRsuite_x86_64Linux_1.0/bin/prepare_ligand -l mol_2024_07_09_1320403_000.pdb -o mol_2024_07_09_1320403_000.pdbqt -A hydrogens' returned non-zero exit status 1.,exp_13
mol_2024_07_09_1325373_000,Mpro-protein,-6.378,,exp_13
mol_2024_07_09_1320361_000,Mpro-protein,-5.882,,exp_13
mol_2024_07_09_1313060_000,Mpro-protein,-6.447,,exp_13
