ligand_name,protein_name,computed_dG,error_message,exp_id
mol_2024_07_09_1123541_000_0,Mpro-protein,-5.702972,,exp_9
mol_2024_07_09_1123541_000_0,Mpro-protein,-5.702972,,exp_9
mol_2024_07_09_1135030_000_0,Mpro-protein,-4.920073,,exp_9
mol_2024_07_09_1135030_000_0,Mpro-protein,-4.920074,,exp_9
mol_2024_07_09_1140470_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1140470_000_docked.sdf,exp_9
mol_2024_07_09_1127490_000_0,Mpro-protein,-7.140984,,exp_9
mol_2024_07_09_1127490_000_0,Mpro-protein,-7.328246,,exp_9
mol_2024_07_09_1127030_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1127030_000_docked.sdf,exp_9
mol_2024_07_09_1144101_000_0,Mpro-protein,-5.341265,,exp_9
mol_2024_07_09_1144101_000_0,Mpro-protein,-5.556625,,exp_9
mol_2024_07_09_1133193_000_0,Mpro-protein,-5.78237,,exp_9
mol_2024_07_09_1133193_000_0,Mpro-protein,-5.764041,,exp_9
mol_2024_07_09_1141111_000_0,Mpro-protein,-5.088729,,exp_9
mol_2024_07_09_1141111_000_0,Mpro-protein,-5.080472,,exp_9
mol_2024_07_09_1140093_000_0,Mpro-protein,-7.405697,,exp_9
mol_2024_07_09_1140093_000_0,Mpro-protein,-7.2014,,exp_9
mol_2024_07_09_1137300_000_0,Mpro-protein,-6.595311,,exp_9
mol_2024_07_09_1137300_000_0,Mpro-protein,-6.431028,,exp_9
mol_2024_07_09_1133270_000_0,Mpro-protein,-5.687137,,exp_9
mol_2024_07_09_1133270_000_0,Mpro-protein,-5.596785,,exp_9
mol_2024_07_09_1124380_000_0,Mpro-protein,-7.289553,,exp_9
mol_2024_07_09_1124380_000_0,Mpro-protein,-7.315667,,exp_9
mol_2024_07_09_1138190_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1138190_000_docked.sdf,exp_9
mol_2024_07_09_1135171_000_0,Mpro-protein,-7.750221,,exp_9
mol_2024_07_09_1135171_000_0,Mpro-protein,-7.750224,,exp_9
mol_2024_07_09_1140572_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1140572_000_docked.sdf,exp_9
mol_2024_07_09_1128143_000_0,Mpro-protein,-5.884455,,exp_9
mol_2024_07_09_1128143_000_0,Mpro-protein,-6.063065,,exp_9
mol_2024_07_09_1142111_000.sdf,Mpro-protein.pdb,,File error: Invalid input file Mpro-x0072_0_DU_0_receptor_mol_2024_07_09_1142111_000_docked.sdf,exp_9
mol_2024_07_09_1145152_000_0,Mpro-protein,-6.17365,,exp_9
mol_2024_07_09_1145152_000_0,Mpro-protein,-6.008464,,exp_9
mol_2024_07_09_1140121_000_0,Mpro-protein,-6.394908,,exp_9
mol_2024_07_09_1140121_000_0,Mpro-protein,-6.410152,,exp_9
